Pattern Type,Number of Propositions,Utterance,True LTL
visit,2,go to the blue room keep going and stop when you reach the green room,F & blue_room F green_room
visit,2,go to the green room via the blue room,F & blue_room F green_room
visit,2,go through the blue room into the green room,F & blue_room F green_room
visit,2,go over towards the blue room and up through it to the green rectangular room,F & blue_room F green_room
visit,2,go through the blue to get to the green,F & blue_room F green_room
visit,2,go through blue room to green room,F & blue_room F green_room
visit,2,follow the path through the blue room to get to the green room,F & blue_room F green_room
visit,2,go through the blue room to the green room,F & blue_room F green_room
visit,2,go through blue rooms to get to the green one,F & blue_room F green_room
visit,2,take the blue room first which leads to the green room,F & blue_room F green_room
visit,2,only go to the green room by first entering the blue room,F & blue_room F green_room
visit,2,go to the green room through the blue one,F & blue_room F green_room
visit,2,go through the blue room to the green room,F & blue_room F green_room
visit,2,go to the green area through blue area,F & blue_room F green_room
visit,2,go through blue to get to green,F & blue_room F green_room
visit,2,go through blue room to get to green room,F & blue_room F green_room
visit,2,go through blue to green room,F & blue_room F green_room
visit,2,please go to the green room through the blue room,F & blue_room F green_room
visit,2,travel through the blue square room to the large green rectangular room,F & blue_room F green_room
visit,2,go through the blue room to get to the green room,F & blue_room F green_room
visit,2,move through a blue room and into the green room,F & blue_room F green_room
visit,2,go through blue to reach green,F & blue_room F green_room
visit,2,go to the green room through blue,F & blue_room F green_room
visit,2,move through the blue room into the green room,F & blue_room F green_room
visit,2,go into the green room through the blue room,F & blue_room F green_room
visit,2,go through the blue room to the green room,F & blue_room F green_room
visit,2,go through the blue room to get to the green room,F & blue_room F green_room
visit,2,go into the blue room and then the green room,F & blue_room F green_room
visit,2,go to green rectangle via blue square,F & blue_room F green_room
visit,2,go to the green room through the blue room,F & blue_room F green_room
visit,2,go through the blue room to the green room,F & blue_room F green_room
visit,2,go to the blue room then to the green room,F & blue_room F green_room
visit,2,go to the green room via the blue room,F & blue_room F green_room
visit,2,travel through the blue room into the green room,F & blue_room F green_room
visit,2,go to large green room through blue room,F & blue_room F green_room
visit,2,go to the blue room only and then the green room only,F & blue_room F green_room
visit,2,navigate through blue to reach green,F & blue_room F green_room
visit,2,enter the green room through the blue room,F & blue_room F green_room
visit,2,make your way to the green room by going through the blue room,F & blue_room F green_room
visit,2,the robot moves through the blue room to get to the green room,F & blue_room F green_room
visit,2,enter the blue room and proceed until the green room,F & blue_room F green_room
visit,2,go through the blue room towards the green room,F & blue_room F green_room
visit,2,go through the blue room into the green room,F & blue_room F green_room
visit,2,go to the green room by passing through the blue room,F & blue_room F green_room
visit,2,enter the door to the blue room and exit the other door into the green room,F & blue_room F green_room
visit,2,travel through the blue room to the green room,F & blue_room F green_room
visit,2,enter green room via blue room,F & blue_room F green_room
visit,2,go through blue room to green room,F & blue_room F green_room
visit,2,go through the blue room until you get to the green,F & blue_room F green_room
visit,2,move through the blue room to the green room,F & blue_room F green_room
visit,2,travel through the blue room to go into the green room,F & blue_room F green_room
visit,2,go to the green room via the blue room,F & blue_room F green_room
visit,2,always walk through the blue room to get to the green room,F & blue_room F green_room
visit,2,the robot moves towards the green room through the blue room,F & blue_room F green_room
visit,2,go thru the blue box to get to the green box,F & blue_room F green_room
visit,2,move to the blue room and then to the green room,F & blue_room F green_room
visit,2,instead of going through the red room move through the blue room to enter the green room,F & blue_room F green_room
visit,2,go to the blue room then to the green room,F & blue_room F green_room
visit,2,go through the blue room in to the green room,F & blue_room F green_room
visit,2,go thru the blue to get to the green,F & blue_room F green_room
visit,2,go through the blue room to get to the green room,F & blue_room F green_room
visit,2,go through the blue room to enter the green room,F & blue_room F green_room
visit,2,the robot goes to the blue to get to the green,F & blue_room F green_room
visit,2,walk pass the blue room into the green room,F & blue_room F green_room
visit,2,move to the large green room by passing through the small blue room,F & blue_room F green_room
visit,2,enter the blue room and then the green room,F & blue_room F green_room
visit,2,go through the blue room to the green room,F & blue_room F green_room
visit,2,you must walk through the blue room to get to the green room,F & blue_room F green_room
visit,2,move through the blue room to the green room,F & blue_room F green_room
