Utterance,Ground truth,Output,Correct
"visiting Wine & Spirits alcohol shop on West 43rd Street, more than three times is prohibited",{'Wine & Spirits alcohol shop on West 43rd Street'},{'Wine & Spirits alcohol shop on West 43rd Street'},True
"visit One Vanderbilt under construction with a final height of 427m, Nat Sherman Townhouse, a tobacco shop on East 42nd Street, PNC Bank, and Madison Avenue & East 42nd Street, in any order","{'Madison Avenue & East 42nd Street', 'One Vanderbilt under construction with a final height of 427m', 'Nat Sherman Townhouse, a tobacco shop on East 42nd Street', 'PNC Bank'}","{'Madison Avenue & East 42nd Street', 'One Vanderbilt under construction with a final height of 427m', 'Nat Sherman Townhouse, a tobacco shop on East 42nd Street', 'PNC Bank'}",True
"reach McDonald's fast food burger restaurant, then reach Gertrude Stein Memorial, then reach One Vanderbilt under construction with a final height of 427 meters, and then reach PNC Bank","{'PNC Bank', ""McDonald's fast food burger restaurant"", 'Gertrude Stein Memorial', 'One Vanderbilt under construction with a final height of 427 meters'}","{'Gertrude Stein Memorial', ""McDonald's fast food burger restaurant"", 'PNC Bank', 'One Vanderbilt under construction with a final height of 427 meters'}",True
"first go to Sathya Sai place of worship, while avoiding Alden Shoes on Madison Avenue, then go to Alden Shoes on Madison Avenue, while staying away from Lefcourt National Building on 5th Avenue, then go to Lefcourt National Building on 5th Avenue, while staying away from New York Public Library on 5th Avenue, then visit New York Public Library on 5th Avenue","{'Sathya Sai place of worship', 'New York Public Library on 5th Avenue', 'Alden Shoes on Madison Avenue', 'Lefcourt National Building on 5th Avenue'}","{'Sathya Sai place of worship', 'Lefcourt National Building on 5th Avenue', 'Alden Shoes on Madison Avenue', 'New York Public Library on 5th Avenue'}",True
visit Pret A Manger sandwich fast food chain,{'Pret A Manger sandwich fast food chain'},{'Pret A Manger sandwich fast food chain'},True
"go to One Vanderbilt under construction with a final height of 427 meters, and then go to Wine & Spirits store on West 43rd Street, but do not visit Wine & Spirits store on West 43rd Street, before One Vanderbilt under construction with a final height of 427 meters, is visited","{'Wine & Spirits store on West 43rd Street', 'One Vanderbilt under construction with a final height of 427 meters'}","{'Wine & Spirits store on West 43rd Street', 'One Vanderbilt under construction with a final height of 427 meters'}",True
"do not go to anywhere but Madison Avenue and East 42nd Street intersection, once you visit clothing store named ""and other stories""","{'clothing store named ""and other stories""', 'Madison Avenue and East 42nd Street intersection'}","{'clothing store named ""and other stories""', 'Madison Avenue and East 42nd Street intersection'}",True
"go to Lefcourt National Building on 5th Avenue, and move on to Salmon Tower commercial building on West 42nd Street, once you have been to Lefcourt National Building on 5th Avenue","{'Lefcourt National Building on 5th Avenue', 'Salmon Tower commercial building on West 42nd Street'}","{'Lefcourt National Building on 5th Avenue', 'Salmon Tower commercial building on West 42nd Street'}",True
"continuously visit East 42nd Street and Madison Avenue intersection, New York Public Library on 5th Avenue, Pret A Manger sandwich fast food chain, and M&T Bank","{'East 42nd Street and Madison Avenue intersection', 'Pret A Manger sandwich fast food chain', 'M&T Bank', 'New York Public Library on 5th Avenue'}","{'East 42nd Street and Madison Avenue intersection', 'Pret A Manger sandwich fast food chain', 'New York Public Library on 5th Avenue', 'M&T Bank'}",True
"keep going to Zara clothing store, SUNY State College of Optometry, Jewish place of worship in Midtown Manhattan, and McDonald's fast food burger joint, an infinite number of times","{'SUNY State College of Optometry', ""McDonald's fast food burger joint"", 'Jewish place of worship in Midtown Manhattan', 'Zara clothing store'}","{'SUNY State College of Optometry', ""McDonald's fast food burger joint"", 'Jewish place of worship in Midtown Manhattan', 'Zara clothing store'}",True
"visit Salmon Tower commercial building on West 42nd Street, but do not visit Salmon Tower commercial building on West 42nd Street, before you reach Lefcourt National Building on 5th Avenue","{'Lefcourt National Building on 5th Avenue', 'Salmon Tower commercial building on West 42nd Street'}","{'Lefcourt National Building on 5th Avenue', 'Salmon Tower commercial building on West 42nd Street'}",True
"visit New York Public Library on 5th Avenue, visit M&T Bank, after New York Public Library on 5th Avenue, then visit McDonald's fast-food burger restaurant, after M&T Bank, then visit The Forefront Law Group on 5th Avenue, after McDonald's fast-food burger restaurant, finally visit Chase Bank, after The Forefront Law Group on 5th Avenue","{'Chase Bank', 'New York Public Library on 5th Avenue', ""McDonald's fast-food burger restaurant"", 'The Forefront Law Group on 5th Avenue', 'M&T Bank'}","{""McDonald's fast-food burger restaurant"", 'The Forefront Law Group on 5th Avenue', 'M&T Bank', 'Chase Bank', 'New York Public Library on 5th Avenue'}",True
do not stop visiting Jewish place of worship in Midtown Manhattan,{'Jewish place of worship in Midtown Manhattan'},{'Jewish place of worship in Midtown Manhattan'},True
"do not make any single visit to Nat Sherman Townhouse, a tobacco retail store with a flat concrete roof on East 42nd Street, Chase Bank, H&M clothing store, or One Vanderbilt under construction with a final height of 427 meters","{'One Vanderbilt under construction with a final height of 427 meters', 'H&M clothing store', 'Nat Sherman Townhouse, a tobacco retail store with a flat concrete roof on East 42nd Street', 'Chase Bank'}","{'H&M clothing store', 'Nat Sherman Townhouse, a tobacco retail store with a flat concrete roof on East 42nd Street', 'Chase Bank', 'One Vanderbilt under construction with a final height of 427 meters'}",True
"reach Chase Bank, on exactly four separate occations",{'Chase Bank'},{'Chase Bank'},True
"make sure to visit Jewish place of worship in Midtown Manhattan, on five separate occasions",{'Jewish place of worship in Midtown Manhattan'},{'Jewish place of worship in Midtown Manhattan'},True
"do not go to PNC Bank, One Vanderbilt under construction with a final height of 427 meters, Bryant Park Grill restaurant, and Elite Bureau Club V.I.P. on Madison Avenue, One Vanderbilt under construction with a final height of 427 meters, finite number of times","{'Bryant Park Grill restaurant', 'Elite Bureau Club V.I.P. on Madison Avenue', 'PNC Bank', 'One Vanderbilt under construction with a final height of 427 meters'}","{'One Vanderbilt under construction with a final height of 427 meters', 'Elite Bureau Club V.I.P. on Madison Avenue', 'PNC Bank', 'Bryant Park Grill restaurant'}",True
"remain at Car rental on Madison Avenue, as long as Wendell L. Willkie memorial, is not seen","{'Wendell L. Willkie memorial', 'Car rental on Madison Avenue'}","{'Wendell L. Willkie memorial', 'Car rental on Madison Avenue'}",True
"keep going to New York Public Library on 5th Avenue, COS clothing store for women and men on 5th Avenue, clothing store named ""and other stories"", Chase Bank, and historic Croton Reservoir, an infinite number of times","{'historic Croton Reservoir', 'Chase Bank', 'clothing store named ""and other stories""', 'New York Public Library on 5th Avenue', 'COS clothing store for women and men on 5th Avenue'}","{'historic Croton Reservoir', 'Chase Bank', 'clothing store named ""and other stories""', 'COS clothing store for women and men on 5th Avenue', 'New York Public Library on 5th Avenue'}",True
"do not make any single visit to Alden Shoes store on Madison Avenue, COS clothing store on 5th Avenue for women and men, or SUNY State College of Optometry","{'Alden Shoes store on Madison Avenue', 'SUNY State College of Optometry', 'COS clothing store on 5th Avenue for women and men'}","{'Alden Shoes store on Madison Avenue', 'SUNY State College of Optometry', 'COS clothing store on 5th Avenue for women and men'}",True
"keep going to Chase Bank, and Sperry & Hutchinson commercial building, an infinite number of times","{'Sperry & Hutchinson commercial building', 'Chase Bank'}","{'Sperry & Hutchinson commercial building', 'Chase Bank'}",True
"move to Pret A Manger fast food sandwich chain, at least once do not visit Sean John clothing store on East 42nd Street, or One Vanderbilt under construction with a final height of 427m, before Pret A Manger fast food sandwich chain, then move to Sean John clothing store on East 42nd Street, at least once do not visit One Vanderbilt under construction with a final height of 427m, before Sean John clothing store on East 42nd Street, finally reach One Vanderbilt under construction with a final height of 427m","{'Sean John clothing store on East 42nd Street', 'One Vanderbilt under construction with a final height of 427m', 'Pret A Manger fast food sandwich chain'}","{'One Vanderbilt under construction with a final height of 427m', 'Pret A Manger fast food sandwich chain', 'Sean John clothing store on East 42nd Street'}",True
"visit M&T Bank, Elite Bureau Club V.I.P. on Madison Avenue, Wine & Spirits store on West 43rd Street, Bryant Park, and Commercial building on 5th Avenue","{'Commercial building on 5th Avenue', 'M&T Bank', 'Elite Bureau Club V.I.P. on Madison Avenue', 'Wine & Spirits store on West 43rd Street', 'Bryant Park'}","{'Commercial building on 5th Avenue', 'Bryant Park', 'Elite Bureau Club V.I.P. on Madison Avenue', 'Wine & Spirits store on West 43rd Street', 'M&T Bank'}",True
"you must visit Gertrude Stein memorial, Wine & Spirits store on West 43rd Street, COS clothing store for women and men on 5th Avenue, Alden Shoes store on Madison Avenue, Sathya Sai place of worship, but it can be done in any order","{'Gertrude Stein memorial', 'Alden Shoes store on Madison Avenue', 'Sathya Sai place of worship', 'Wine & Spirits store on West 43rd Street', 'COS clothing store for women and men on 5th Avenue'}","{'Alden Shoes store on Madison Avenue', 'Gertrude Stein memorial', 'Sathya Sai place of worship', 'Wine & Spirits store on West 43rd Street', 'COS clothing store for women and men on 5th Avenue'}",True
"go to Christian place of worship, IESS (Inner Enlightenment Spiritist Society), then go to McDonald's fast-food burger restaurant, then go to Alden Shoes store on Madison Avenue, then go to historic Croton Reservoir, then go to PNC Bank","{'Christian place of worship, IESS (Inner Enlightenment Spiritist Society)', 'historic Croton Reservoir', 'PNC Bank', ""McDonald's fast-food burger restaurant"", 'Alden Shoes store on Madison Avenue'}","{""McDonald's fast-food burger restaurant"", 'IESS (Inner Enlightenment Spiritist Society)', 'Alden Shoes store on Madison Avenue', 'historic Croton Reservoir', 'Christian place of worship', 'PNC Bank'}",False
"do not make any single visit to Sperry & Hutchinson commercial building, or Gertrude Stein memorial","{'Sperry & Hutchinson commercial building', 'Gertrude Stein memorial'}","{'Sperry & Hutchinson commercial building', 'Gertrude Stein memorial'}",True
"always keep away from Nat Sherman Townhouse, a tobacco shop on East 42nd Street with a flat concrete roof, and PNC Bank","{'PNC Bank', 'Nat Sherman Townhouse, a tobacco shop on East 42nd Street with a flat concrete roof'}","{'PNC Bank', 'Nat Sherman Townhouse, a tobacco shop on East 42nd Street with a flat concrete roof'}",True
"go to Sean John clothing store on East 42nd Street, first go to Bryant Park, second and do not visit Sean John clothing store on East 42nd Street, again go to PNC Bank, third and do not visit Bryant Park, again","{'Bryant Park', 'PNC Bank', 'Sean John clothing store on East 42nd Street'}","{'Sean John clothing store on East 42nd Street', 'PNC Bank', 'Bryant Park'}",True
"always the response to Bryant Park, is Salmon Tower commercial building on West 42nd Street, in the next time step","{'Salmon Tower commercial building on West 42nd Street', 'Bryant Park'}","{'Salmon Tower commercial building on West 42nd Street', 'Bryant Park'}",True
"visit COS clothing store for men and women on 5th Avenue, exactly once while avoiding Bryant Park Grill Restaurant, and Lefcourt National Building on 5th Avenue, then visit Bryant Park Grill Restaurant, exactly once while avoiding Lefcourt National Building on 5th Avenue, finally visit Lefcourt National Building on 5th Avenue","{'Lefcourt National Building on 5th Avenue', 'COS clothing store for men and women on 5th Avenue', 'Bryant Park Grill Restaurant'}","{'Lefcourt National Building on 5th Avenue', 'COS clothing store for men and women on 5th Avenue', 'Bryant Park Grill Restaurant'}",True
"always if you observe Starbucks coffee shop, proceed to reach Pret A Manger sandwich fast food chain, at the very next time instant","{'Pret A Manger sandwich fast food chain', 'Starbucks coffee shop'}","{'Pret A Manger sandwich fast food chain', 'Starbucks coffee shop'}",True
"visit The Forefront Law Group on 5th Avenue, while staying away from Salmon Tower commercial building on West 42nd Street, then visit Salmon Tower commercial building on West 42nd Street, while staying away from Urban Outfitters clothing store, then visit Urban Outfitters clothing store, while staying away from Elite Bureau Club V.I.P. on Madison Avenue, then visit Elite Bureau Club V.I.P. on Madison Avenue, while staying away from Bryant Park, finally reach Bryant Park, without returning to any previously visited locations","{'Salmon Tower commercial building on West 42nd Street', 'Elite Bureau Club V.I.P. on Madison Avenue', 'The Forefront Law Group on 5th Avenue', 'Urban Outfitters clothing store', 'Bryant Park'}","{'The Forefront Law Group on 5th Avenue', 'Urban Outfitters clothing store', 'Salmon Tower commercial building on West 42nd Street', 'Elite Bureau Club V.I.P. on Madison Avenue', 'Bryant Park'}",True
"go to H&M clothing store, then go to clothing store named ""and other stories"", then go to Sean John clothing store on East 42nd Street","{'H&M clothing store', 'clothing store named ""and other stories""', 'Sean John clothing store on East 42nd Street'}","{'H&M clothing store', 'and other stories', 'Sean John clothing store on East 42nd Street'}",False
"go to Chase Bank, and go to historic Croton Reservoir","{'historic Croton Reservoir', 'Chase Bank'}","{'historic Croton Reservoir', 'Chase Bank'}",True
"you can go anywhere but Gertrude Stein Memorial, Zara clothing store, Fila shoe store, clothing store named ""and other stories"", and Elite Bureau Club V.I.P. on Madison Avenue","{'clothing store named ""and other stories""', 'Elite Bureau Club V.I.P. on Madison Avenue', 'Zara clothing store', 'Gertrude Stein Memorial', 'Fila shoe store'}","{'Zara clothing store', 'Fila shoe store', 'clothing store named ""and other stories""', 'Elite Bureau Club V.I.P. on Madison Avenue', 'Gertrude Stein Memorial'}",True
"you must visit Jewish place of worship in Midtown Manhattan, exactly once while avoiding Commercial building on 5th Avenue, then you can navigate to Commercial building on 5th Avenue","{'Commercial building on 5th Avenue', 'Jewish place of worship in Midtown Manhattan'}","{'Commercial building on 5th Avenue', 'Jewish place of worship in Midtown Manhattan'}",True
"you must go to Starbucks coffee shop, exactly twice",{'Starbucks coffee shop'},{'Starbucks coffee shop'},True
"direct yourself to PNC Bank, but keep away from Cafe Metro, and W. R. Grace commercial building on 6th Avenue, then go to Cafe Metro, but bypass W. R. Grace commercial building on 6th Avenue, and eventually make your way to W. R. Grace commercial building on 6th Avenue","{'W. R. Grace commercial building on 6th Avenue', 'PNC Bank', 'Cafe Metro'}","{'W. R. Grace commercial building on 6th Avenue', 'PNC Bank', 'Cafe Metro'}",True
"until you have gone to New York Public Library on 5th Avenue, you can not go to Alden Shoes store on Madison Avenue","{'Alden Shoes store on Madison Avenue', 'New York Public Library on 5th Avenue'}","{'Alden Shoes store on Madison Avenue', 'New York Public Library on 5th Avenue'}",True
"reach Pret A Manger fast food sandwich chain, then reach Sean John clothes shop on East 42nd Street, and then reach SUNY State College of Optometry","{'Sean John clothes shop on East 42nd Street', 'SUNY State College of Optometry', 'Pret A Manger fast food sandwich chain'}","{'SUNY State College of Optometry', 'Pret A Manger fast food sandwich chain', 'Sean John clothes shop on East 42nd Street'}",True
"go to The Forefront Law Group on 5th Avenue, then go to Commercial building on 5th Avenue, then go to COS clothing store on 5th Avenue for women and men, then go to Sathya Sai place of worship, finally go to Starbucks coffee shop","{'Commercial building on 5th Avenue', 'The Forefront Law Group on 5th Avenue', 'Starbucks coffee shop', 'Sathya Sai place of worship', 'COS clothing store on 5th Avenue for women and men'}","{'Commercial building on 5th Avenue', 'The Forefront Law Group on 5th Avenue', 'Starbucks coffee shop', 'Sathya Sai place of worship', 'COS clothing store on 5th Avenue for women and men'}",True
"go to clothing store named ""and other stories"", once without visiting Christian place of worship, IESS, then go to Christian place of worship, IESS, once without visiting One Vanderbilt under construction with a final height of 427m, then go to One Vanderbilt under construction with a final height of 427m, once without visiting Sperry & Hutchinson commercial building, then go to Sperry & Hutchinson commercial building, once without visiting Jewish place of worship in Midtown Manhattan, finally go to Jewish place of worship in Midtown Manhattan","{'clothing store named ""and other stories""', 'Christian place of worship, IESS', 'One Vanderbilt under construction with a final height of 427m', 'Jewish place of worship in Midtown Manhattan', 'Sperry & Hutchinson commercial building'}","{'Christian place of worship, IESS', 'One Vanderbilt under construction with a final height of 427m', 'Jewish place of worship in Midtown Manhattan', 'Sperry & Hutchinson commercial building', 'clothing store named ""and other stories""'}",True
do not make any single visit to PNC Bank,{'PNC Bank'},{'PNC Bank'},True
you need at least four distinct visits to Fila shoe store,{'Fila shoe store'},{'Fila shoe store'},True
"visit each of East 42nd Street and Madison Avenue intersection, Pret A Manger sandwich fast food chain, COS clothing store on 5th Avenue for women and men, and Zara clothing store, exactly once in this order","{'East 42nd Street and Madison Avenue intersection', 'Pret A Manger sandwich fast food chain', 'Zara clothing store', 'COS clothing store on 5th Avenue for women and men'}","{'East 42nd Street and Madison Avenue intersection', 'Pret A Manger sandwich fast food chain', 'Zara clothing store', 'COS clothing store on 5th Avenue for women and men'}",True
"you are prohibited from not infinitely going to Bryant Park Grill Restaurant, Jewish place of worship in Midtown Manhattan, Cafe Metro, and Salmon Tower commercial building on West 42nd Street","{'Jewish place of worship in Midtown Manhattan', 'Bryant Park Grill Restaurant', 'Salmon Tower commercial building on West 42nd Street', 'Cafe Metro'}","{'Jewish place of worship in Midtown Manhattan', 'Bryant Park Grill Restaurant', 'Salmon Tower commercial building on West 42nd Street', 'Cafe Metro'}",True
"make sure you visit The Forefront Law Group on 5th Avenue, three or more times",{'The Forefront Law Group on 5th Avenue'},{'The Forefront Law Group on 5th Avenue'},True
"you must visit building on 335 Madison Avenue, M&T Bank, The Forefront Law Group on 5th Avenue, Elite Bureau Club V.I.P. on Madison Avenue, One Vanderbilt under construction with a final height of 427m, but it can be done in any order","{'Elite Bureau Club V.I.P. on Madison Avenue', 'The Forefront Law Group on 5th Avenue', 'One Vanderbilt under construction with a final height of 427m', 'building on 335 Madison Avenue', 'M&T Bank'}","{'The Forefront Law Group on 5th Avenue', 'One Vanderbilt under construction with a final height of 427m', 'building on 335 Madison Avenue', 'Elite Bureau Club V.I.P. on Madison Avenue', 'M&T Bank'}",True
"never visit Gertrude Stein Memorial, again after you have visited it five times",{'Gertrude Stein Memorial'},{'Gertrude Stein Memorial'},True
