utterance,ltl_formula
go to a,F a
make sure you visit a at least once,F a
walk to a,F a
make you way to a,F a
head to a,F a
keep visiting a as many times as you can,G F a
keep coming to a but you dont need to always stay at a,G F a
never stop visiting a,G F a
please dont stop visiting a if you are able to,G F a
keep going to a again and again,G F a
visit a and visit b after a is visited,F & a F b
visit b and visit a after b is visited,F & b F a
after you visit a go to b,F & a F b
after you visit b go to a,F & b F a
after you have been to a make your way to b,F & a F b
after you have been to b make your way to a,F & b F a
go to a and move on to b once you have been to a,F & a F b
go to b and move on to a once you have been to b,F & b F a
go to a and then go to b,F & a F b
go to b and then go to a,F & b F a
go to a and then go to b but dont visit b before a is visited,& U ! b a F b
go to b and then go to a but dont visit a before b is visited,& U ! a b F a
visit a and visit b only if a is visited,& U ! b a F b
visit b and visit a only if b is visited,& U ! a b F a
go to b but only visit b if you already visited a,& U ! b a F b
go to a but only visit a if you already visited b,& U ! a b F a
go to a but keep avoiding b and once you have been to a go to b,& U ! b a F b
go to b but keep avoiding a and once you have been to b go to a,& U ! a b F a
head to a first and then to b but dont visit b if you havent been to a,& U ! b a F b
head to b first and then to a but dont visit a if you havent been to b,& U ! a b F a
go to a only once but keep away from b and then visit b,& & U ! b a F b U ! a U a U !a b
go to b only once but keep away from a and then visit a,& & U ! a b F a U ! b U b U !b a
visit a one time but not through b and head to b after a is visited,& & U ! b a F b U ! a U a U !a b
visit b one time but not through a and head to a after b is visited,& & U ! a b F a U ! b U b U !b a
stay away from b until you make a single visit to a and then go to b,& & U ! b a F b U ! a U a U !a b
stay away from a until you make b single visit to b and then go to a,& & U ! a b F a U ! b U b U !b a
avoid b initially when a is not visited and then just visit a once and then visit b,& & U ! b a F b U ! a U a U !a b
avoid a initially when b is not visited and then just visit b once and then visit a,& & U ! a b F a U ! b U b U !b a
dont visit b before you visit a and then go to b without revisiting a,& & U ! b a F b U ! a U a U !a b
dont visit a before you visit b and then go to a without revisiting b,& & U ! a b F a U ! b U b U !b a
visit a,F a
reach a,F a
eventually you must go to a,F a
visit a and b,& F a F b
visit b and a,& F b F a
visit b and a,& F a F b
visit a and b,& F b F a
sometime along the way go to a and b,& F a F b
sometime along the way go to b and a,& F b F a
eventually reach a and b,& F a F b
eventually reach b and a,& F b F a
go to a b and c,& F a & F b F c
go to a c and b,& F a & F c F b
go to b a and c,& F b & F a F c
go to b c and a,& F b & F c F a
go to c a and b,& F c & F a F b
go to c b and a,& F c & F b F a
visit c a and b in no specific order,& F a & F b F c
visit b a and c in no specific order,& F a & F c F b
visit c b and a in no specific order,& F b & F a F c
visit a b and c in no specific order,& F b & F c F a
visit b c and a in no specific order,& F c & F a F b
visit a c and b in no specific order,& F c & F b F a
eventually reach a c and b,& F a & F b F c
eventually reach a b and c,& F a & F c F b
eventually reach b c and a,& F b & F a F c
eventually reach b a and c,& F b & F c F a
eventually reach c b and a,& F c & F a F b
eventually reach c a and b,& F c & F b F a
visit b a c and d,& F a & F b & F c F d
visit b a d and c,& F a & F b & F d F c
visit c a b and d,& F a & F c & F b F d
visit c a d and b,& F a & F c & F d F b
visit d a b and c,& F a & F d & F b F c
visit d a c and b,& F a & F d & F c F b
visit a b c and d,& F b & F a & F c F d
visit a b d and c,& F b & F a & F d F c
visit c b a and d,& F b & F c & F a F d
visit c b d and a,& F b & F c & F d F a
visit d b a and c,& F b & F d & F a F c
visit d b c and a,& F b & F d & F c F a
visit a c b and d,& F c & F a & F b F d
visit a c d and b,& F c & F a & F d F b
visit b c a and d,& F c & F b & F a F d
visit b c d and a,& F c & F b & F d F a
visit d c a and b,& F c & F d & F a F b
visit d c b and a,& F c & F d & F b F a
visit a d b and c,& F d & F a & F b F c
visit a d c and b,& F d & F a & F c F b
visit b d a and c,& F d & F b & F a F c
visit b d c and a,& F d & F b & F c F a
visit c d a and b,& F d & F c & F a F b
visit c d b and a,& F d & F c & F b F a
go to four locations a b d and c,& F a & F b & F c F d
go to four locations a b c and d,& F a & F b & F d F c
go to four locations a c d and b,& F a & F c & F b F d
go to four locations a c b and d,& F a & F c & F d F b
go to four locations a d c and b,& F a & F d & F b F c
go to four locations a d b and c,& F a & F d & F c F b
go to four locations b a d and c,& F b & F a & F c F d
go to four locations b a c and d,& F b & F a & F d F c
go to four locations b c d and a,& F b & F c & F a F d
go to four locations b c a and d,& F b & F c & F d F a
go to four locations b d c and a,& F b & F d & F a F c
go to four locations b d a and c,& F b & F d & F c F a
go to four locations c a d and b,& F c & F a & F b F d
go to four locations c a b and d,& F c & F a & F d F b
go to four locations c b d and a,& F c & F b & F a F d
go to four locations c b a and d,& F c & F b & F d F a
go to four locations c d b and a,& F c & F d & F a F b
go to four locations c d a and b,& F c & F d & F b F a
go to four locations d a c and b,& F d & F a & F b F c
go to four locations d a b and c,& F d & F a & F c F b
go to four locations d b c and a,& F d & F b & F a F c
go to four locations d b a and c,& F d & F b & F c F a
go to four locations d c b and a,& F d & F c & F a F b
go to four locations d c a and b,& F d & F c & F b F a
in no particular order visit a b c and d,& F a & F b & F c F d
in no particular order visit a b d and c,& F a & F b & F d F c
in no particular order visit a c b and d,& F a & F c & F b F d
in no particular order visit a c d and b,& F a & F c & F d F b
in no particular order visit a d b and c,& F a & F d & F b F c
in no particular order visit a d c and b,& F a & F d & F c F b
in no particular order visit b a c and d,& F b & F a & F c F d
in no particular order visit b a d and c,& F b & F a & F d F c
in no particular order visit b c a and d,& F b & F c & F a F d
in no particular order visit b c d and a,& F b & F c & F d F a
in no particular order visit b d a and c,& F b & F d & F a F c
in no particular order visit b d c and a,& F b & F d & F c F a
in no particular order visit c a b and d,& F c & F a & F b F d
in no particular order visit c a d and b,& F c & F a & F d F b
in no particular order visit c b a and d,& F c & F b & F a F d
in no particular order visit c b d and a,& F c & F b & F d F a
in no particular order visit c d a and b,& F c & F d & F a F b
in no particular order visit c d b and a,& F c & F d & F b F a
in no particular order visit d a b and c,& F d & F a & F b F c
in no particular order visit d a c and b,& F d & F a & F c F b
in no particular order visit d b a and c,& F d & F b & F a F c
in no particular order visit d b c and a,& F d & F b & F c F a
in no particular order visit d c a and b,& F d & F c & F a F b
in no particular order visit d c b and a,& F d & F c & F b F a
visit a b c d and h,& F a & F b & F c & F d F h
visit a b c h and d,& F a & F b & F c & F h F d
visit a b d c and h,& F a & F b & F d & F c F h
visit a b d h and c,& F a & F b & F d & F h F c
visit a b h c and d,& F a & F b & F h & F c F d
visit a b h d and c,& F a & F b & F h & F d F c
visit a c b d and h,& F a & F c & F b & F d F h
visit a c b h and d,& F a & F c & F b & F h F d
visit a c d b and h,& F a & F c & F d & F b F h
visit a c d h and b,& F a & F c & F d & F h F b
visit a c h b and d,& F a & F c & F h & F b F d
visit a c h d and b,& F a & F c & F h & F d F b
visit a d b c and h,& F a & F d & F b & F c F h
visit a d b h and c,& F a & F d & F b & F h F c
visit a d c b and h,& F a & F d & F c & F b F h
