pattern_type,props,utterance,ltl_formula
global_avoidance,['a'],never go to a,G ! a
global_avoidance,['a'],do not go to a,G ! a
global_avoidance,['a'],you can go anywhere but a,G ! a
global_avoidance,['a'],a cannot be visited at any time,G ! a
global_avoidance,['a'],always keep away from a,G ! a
global_avoidance,['a'],never visit a,G ! a
global_avoidance,['a'],you can never go to a,G ! a
global_avoidance,['a'],always stay away from a,G ! a
global_avoidance,['a'],always avoid going to a,G ! a
global_avoidance,['a'],you have to avoid a at all costs,G ! a
global_avoidance,['a'],make sure you never visit a,G ! a
global_avoidance,['a'],you cannot go to a at any time,G ! a
global_avoidance,"['a', 'b']",never visit a or b,& G ! a G ! b
global_avoidance,"['a', 'b']",you can never go to a or b,& G ! a G ! b
global_avoidance,"['a', 'b']",you cannot go to a or b at any time,& G ! a G ! b
global_avoidance,"['a', 'b']",always avoid going to a and never visit b,& G ! a G ! b
global_avoidance,"['a', 'b']",always stay away from a and b,& G ! a G ! b
global_avoidance,"['a', 'b']",you have to avoid a and b at all costs,& G ! a G ! b
global_avoidance,"['a', 'b']",make sure you never go to a or b,& G ! a G ! b
global_avoidance,"['a', 'b', 'c']",never go to a b or c,& G ! a & G ! b G ! c
global_avoidance,"['a', 'b', 'c']",you can never visit a b or c,& G ! a & G ! b G ! c
global_avoidance,"['a', 'b', 'c']",always avoid going to a b and c,& G ! a & G ! b G ! c
global_avoidance,"['a', 'b', 'c']",always stay away from a b and c,& G ! a & G ! b G ! c
global_avoidance,"['a', 'b', 'c']",you have to avoid a b and c at all costs,& G ! a & G ! b G ! c
global_avoidance,"['a', 'b', 'c']",you cannot visit a b or c at any time,& G ! a & G ! b G ! c
global_avoidance,"['a', 'b', 'c']",make sure you never visit a b or c,& G ! a & G ! b G ! c
global_avoidance,"['a', 'b', 'c', 'd']",never visit a b c or d,& G ! a & G ! b & G ! c G ! d
global_avoidance,"['a', 'b', 'c', 'd']",you can never go to a b c or d,& G ! a & G ! b & G ! c G ! d
global_avoidance,"['a', 'b', 'c', 'd']",you cannot go to a b c or d at any time,& G ! a & G ! b & G ! c G ! d
global_avoidance,"['a', 'b', 'c', 'd']",make sure you never visit a b c or d,& G ! a & G ! b & G ! c G ! d
global_avoidance,"['a', 'b', 'c', 'd']",always avoid going to a b c or d,& G ! a & G ! b & G ! c G ! d
global_avoidance,"['a', 'b', 'c', 'd']",always stay away from a b c and d,& G ! a & G ! b & G ! c G ! d
