composed_utterance,composed_formulas,base_utterances,base_formulas
"eventually first visit a and then b after, in addition never go to a",& F & a F b G ! a,"('eventually first visit a and then b after', 'never go to a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition do not go to a",& F & a F b G ! a,"('eventually first visit a and then b after', 'do not go to a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition you can go anywhere but a",& F & a F b G ! a,"('eventually first visit a and then b after', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition a can not be visited at any time",& F & a F b G ! a,"('eventually first visit a and then b after', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition always keep away from a",& F & a F b G ! a,"('eventually first visit a and then b after', 'always keep away from a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition never visit a",& F & a F b G ! a,"('eventually first visit a and then b after', 'never visit a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition you can never go to a",& F & a F b G ! a,"('eventually first visit a and then b after', 'you can never go to a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition always stay away from a",& F & a F b G ! a,"('eventually first visit a and then b after', 'always stay away from a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition always avoid going to a",& F & a F b G ! a,"('eventually first visit a and then b after', 'always avoid going to a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition you have to avoid a at all costs",& F & a F b G ! a,"('eventually first visit a and then b after', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition make sure you never visit a",& F & a F b G ! a,"('eventually first visit a and then b after', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition you can not go to a at any time",& F & a F b G ! a,"('eventually first visit a and then b after', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition avoid going to a",& F & a F b G ! a,"('eventually first visit a and then b after', 'avoid going to a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition you must never go to a",& F & a F b G ! a,"('eventually first visit a and then b after', 'you must never go to a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition a should never be reached",& F & a F b G ! a,"('eventually first visit a and then b after', 'a should never be reached')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition a must be avoided",& F & a F b G ! a,"('eventually first visit a and then b after', 'a must be avoided')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition never visit a",& F & a F b G ! a,"('eventually first visit a and then b after', 'never visit a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition you must avoid a at all costs",& F & a F b G ! a,"('eventually first visit a and then b after', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition you can not go to a",& F & a F b G ! a,"('eventually first visit a and then b after', 'you can not go to a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition avoid a forever",& F & a F b G ! a,"('eventually first visit a and then b after', 'avoid a forever')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition do not make any single visit to a",& F & a F b G ! a,"('eventually first visit a and then b after', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition you can not go to a",& F & a F b G ! a,"('eventually first visit a and then b after', 'you can not go to a')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition never let a hold",& F & a F b G ! a,"('eventually first visit a and then b after', 'never let a hold')","('F & a F b', 'G ! a')"
"eventually first visit a and then b after, in addition a should never become true",& F & a F b G ! a,"('eventually first visit a and then b after', 'a should never become true')","('F & a F b', 'G ! a')"
"visit a and then b, in addition never go to a",& F & a F b G ! a,"('visit a and then b', 'never go to a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition do not go to a",& F & a F b G ! a,"('visit a and then b', 'do not go to a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition you can go anywhere but a",& F & a F b G ! a,"('visit a and then b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition a can not be visited at any time",& F & a F b G ! a,"('visit a and then b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"visit a and then b, in addition always keep away from a",& F & a F b G ! a,"('visit a and then b', 'always keep away from a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition never visit a",& F & a F b G ! a,"('visit a and then b', 'never visit a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition you can never go to a",& F & a F b G ! a,"('visit a and then b', 'you can never go to a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition always stay away from a",& F & a F b G ! a,"('visit a and then b', 'always stay away from a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition always avoid going to a",& F & a F b G ! a,"('visit a and then b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('visit a and then b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a and then b, in addition make sure you never visit a",& F & a F b G ! a,"('visit a and then b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition you can not go to a at any time",& F & a F b G ! a,"('visit a and then b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"visit a and then b, in addition avoid going to a",& F & a F b G ! a,"('visit a and then b', 'avoid going to a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition you must never go to a",& F & a F b G ! a,"('visit a and then b', 'you must never go to a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition a should never be reached",& F & a F b G ! a,"('visit a and then b', 'a should never be reached')","('F & a F b', 'G ! a')"
"visit a and then b, in addition a must be avoided",& F & a F b G ! a,"('visit a and then b', 'a must be avoided')","('F & a F b', 'G ! a')"
"visit a and then b, in addition never visit a",& F & a F b G ! a,"('visit a and then b', 'never visit a')","('F & a F b', 'G ! a')"
