Language Command,LTL Formula
go to fedex office and then go to cvs,F ( fedex_office & F ( cvs ) )
find science library and then find bookstore,F ( science_library & F ( bookstore ) )
go to marston hall and then go to citizens bank,F ( marston_hall & F ( citizens_bank ) )
go to barus building,F ( barus_building )
go to nelson fitness center and then go to starbucks,F ( nelson_fitness_center & F ( starbucks ) )
find bookstore and then find fedex office,F ( bookstore & F ( fedex_office ) )
find chipotle and then find starbucks,F ( chipotle & F ( starbucks ) )
find kabob and curry and then find science library,F ( kabob_and_curry & F ( science_library ) )
go to cvs and then go to citizens bank,F ( cvs & F ( citizens_bank ) )
stay away from angell st and find barus building,G ( ! angell_st ) & F ( barus_building )
find kabob and curry,F ( kabob_and_curry )
find bookstore and then find science library,F ( bookstore & F ( science_library ) )
go to starbucks and then go to bookstore,F ( starbucks & F ( bookstore ) )
find barus building and then find kabob and curry,F ( barus_building & F ( kabob_and_curry ) )
find citizens bank and then find cvs,F ( citizens_bank & F ( cvs ) )
go to watson center and then go to starbucks,F ( watson_center & F ( starbucks ) )
find starbucks and then find watson center,F ( starbucks & F ( watson_center ) )
find nelson fitness center and then find barus building,F ( nelson_fitness_center & F ( barus_building ) )
go to watson center and then go to barus building,F ( watson_center & F ( barus_building ) )
find marston hall and then find cvs,F ( marston_hall & F ( cvs ) )
find chipotle and then find marston hall,F ( chipotle & F ( marston_hall ) )
go to kabob and curry and then go to watson center,F ( kabob_and_curry & F ( watson_center ) )
stay away from brook st and find kabob and curry,G ( ! brook_st ) & F ( kabob_and_curry )
go to citizens bank and then go to marston hall,F ( citizens_bank & F ( marston_hall ) )
go to nelson fitness center and then go to citizens bank,F ( nelson_fitness_center & F ( citizens_bank ) )
stay away from brook st and find chipotle,G ( ! brook_st ) & F ( chipotle )
go to fedex office and then go to citizens bank,F ( fedex_office & F ( citizens_bank ) )
do not enter brook st and find bookstore,G ( ! brook_st ) & F ( bookstore )
find watson center and then find science library,F ( watson_center & F ( science_library ) )
find science library and then find chipotle,F ( science_library & F ( chipotle ) )
find barus building,F ( barus_building )
go to cvs and then go to science library,F ( cvs & F ( science_library ) )
find science library and then find citizens bank,F ( science_library & F ( citizens_bank ) )
go to citizens bank and then go to nelson fitness center,F ( citizens_bank & F ( nelson_fitness_center ) )
stay on angell st and find bookstore,G ( angell_st  ) & F ( bookstore )
do not enter angell st and find starbucks,G ( ! angell_st ) & F ( starbucks )
go to marston hall and then go to kabob and curry,F ( marston_hall & F ( kabob_and_curry ) )
go to science library,F ( science_library )
go to marston hall and then go to bookstore,F ( marston_hall & F ( bookstore ) )
find science library,F ( science_library )
find marston hall and then find fedex office,F ( marston_hall & F ( fedex_office ) )
go to nelson fitness center and then go to kabob and curry,F ( nelson_fitness_center & F ( kabob_and_curry ) )
stay away from thayer st and find chipotle,G ( ! thayer_st ) & F ( chipotle )
stay on thayer st and find bookstore,G ( thayer_st ) & F ( bookstore )
do not leave thayer st and find cvs,G ( thayer_st ) & F ( cvs )
go to fedex office and then go to chipotle,F ( fedex_office & F ( chipotle ) )
find bookstore and then find kabob and curry,F ( bookstore & F ( kabob_and_curry ) )
go to chipotle and then go to kabob and curry,F ( chipotle & F ( kabob_and_curry ) )
find fedex office and then find marston hall,F ( fedex_office & F ( marston_hall ) )
do not leave thayer st and find science library,G ( thayer_st ) & F ( science_library )
