LTL template,Sentence,LTL
F(a),Find Bookstore,F ( Bookstore )
F(a),Go to Bookstore,F ( Bookstore )
F(a),Find Science Library,F ( Science Library )
F(a),Go to Science Library,F ( Science Library )
F(a),Go to Starbucks,F ( Starbucks )
F(a),Find Starbucks,F ( Starbucks )
F(a),Go to Chipotle,F ( Chipotle )
F(a),Find where is Chipotle,F ( Chipotle )
F(a),Go to Kabob and Curry,F ( Kabob and Curry )
F(a),Find Kabob and Curry,F ( Kabob and Curry )
F(a),Find CVS,F ( CVS )
F(a),Discover where is CVS,F ( CVS )
F(a),Find Citizen's Bank,F ( Citizen's Bank )
F(a),Go to Citizen's Bank,F ( Citizen's Bank )
F(a),Find Barus Building ,F ( Barus Building )
F(a),Go to Barus Building,F ( Barus Building )
F(a),Find FedEx Office,F ( FedEx Office )
F(a),Go to FedEx Office,F ( FedEx Office )
F(a),Go to Watson Center,F ( Watson Center ) 
F(a),Find Watson Center,F ( Watson Center ) 
F(a),Go to Nelson Fitness Center,F ( Nelson Fitness Center )
F(a),Find Nelson Fitness Center,F ( Nelson Fitness Center )
F(a),Find Marston Hall,F ( Marston Hall )
F(a),Go to find Marston Hall,F ( Marston Hall )
F(a & F(b)),Find Bookstore and then find Science Library,F ( Bookstore & F ( Science Library ) )
F(a & F(b)),Find Bookstore and then find Starbucks,F ( Bookstore & F ( Starbucks ) )
F(a & F(b)),Find Bookstore and then find Chipotle,F ( Bookstore & F ( Chipotle ) )
F(a & F(b)),Find Bookstore and then find Kabob and Curry,F ( Bookstore & F ( Kabob and Curry ) )
F(a & F(b)),Find Bookstore and then find CVS,F ( Bookstore & F ( CVS ) )
F(a & F(b)),Find Bookstore and then find Citizen's Bank,F ( Bookstore & F ( Citizen's Bank ) )
F(a & F(b)),Find Bookstore and then find Barus Building,F ( Bookstore & F ( Barus Building ) )
F(a & F(b)),Find Bookstore and then find Watson Center,F ( Bookstore & F ( Watson Center ) )
F(a & F(b)),Find Bookstore and then find Marston Hall,F ( Bookstore & F ( Marston Hall ) )
F(a & F(b)),Find Bookstore and then find FedEx Office,F ( Bookstore & F ( FedEx Office ) )
F(a & F(b)),Find Bookstore and then find Nelson Fitness Center,F ( Bookstore & F ( Nelson Fitness Center ) )
F(a & F(b)),Find Science Library and then find Bookstore,F ( Science Library & F ( Bookstore ) )
F(a & F(b)),Find Science Library and then find Starbucks,F ( Science Library & F ( Starbucks ) )
F(a & F(b)),Find Science Library and then find Chipotle,F ( Science Library & F ( Chipotle ) )
F(a & F(b)),Find Science Library and then find Kabob and Curry,F ( Science Library & F ( Kabob and Curry ) )
F(a & F(b)),Find Science Library and then find CVS,F ( Science Library & F ( CVS ) )
F(a & F(b)),Find Science Library and then find Citizen's Bank,F ( Science Library & F ( Citizen's Bank ) )
F(a & F(b)),Find Science Library and then find Barus Building,F ( Science Library & F ( Barus Building ) )
F(a & F(b)),Find Science Library and then find Watson Center,F ( Science Library & F ( Watson Center ) )
F(a & F(b)),Find Science Library and then find Marston Hall,F ( Science Library & F ( Marston Hall ) )
F(a & F(b)),Find Science Library and then find FedEx Office,F ( Science Library & F ( FedEx Office ) )
F(a & F(b)),Find Science Library and then find Nelson Fitness Center,F ( Science Library & F ( Nelson Fitness Center ) )
F(a & F(b)),Find Starbucks and then find Bookstore,F ( Starbucks & F ( Bookstore ) )
F(a & F(b)),Find Starbucks and then find Science Library,F ( Starbucks & F ( Science Library ) )
F(a & F(b)),Find Starbucks and then find Chipotle,F ( Starbucks & F ( Chipotle ) )
F(a & F(b)),Find Starbucks and then find Kabob and Curry,F ( Starbucks & F ( Kabob and Curry ) )
F(a & F(b)),Find Starbucks and then find CVS,F ( Starbucks & F ( CVS ) )
F(a & F(b)),Find Starbucks and then find Citizen's Bank,F ( Starbucks & F ( Citizen's Bank ) )
F(a & F(b)),Find Starbucks and then find Barus Building,F ( Starbucks & F ( Barus Building ) )
F(a & F(b)),Find Starbucks and then find Watson Center,F ( Starbucks & F ( Watson Center ) )
F(a & F(b)),Find Starbucks and then find Marston Hall,F ( Starbucks & F ( Marston Hall ) )
F(a & F(b)),Find Starbucks and then find FedEx Office,F ( Starbucks & F ( FedEx Office ) )
F(a & F(b)),Find Starbucks and then find Nelson Fitness Center,F ( Starbucks & F ( Nelson Fitness Center ) )
F(a & F(b)),Find Chipotle and then find Bookstore,F ( Chipotle & F ( Bookstore ) )
F(a & F(b)),Find Chipotle and then find Science Library,F ( Chipotle & F ( Science Library ) )
F(a & F(b)),Find Chipotle and then find Kabob and Curry,F ( Chipotle & F ( Kabob and Curry ) )
F(a & F(b)),Find Chipotle and then find CVS,F ( Chipotle & F ( CVS ) )
F(a & F(b)),Find Chipotle and then find Citizen's Bank,F ( Chipotle & F ( Citizen's Bank ) )
F(a & F(b)),Find Chipotle and then find Barus Building,F ( Chipotle & F ( Barus Building ) )
F(a & F(b)),Find Chipotle and then find Watson Center,F ( Chipotle & F ( Watson Center ) )
F(a & F(b)),Find Chipotle and then find Marston Hall,F ( Chipotle & F ( Marston Hall ) )
F(a & F(b)),Find Chipotle and then find FedEx Office,F ( Chipotle & F ( FedEx Office ) )
F(a & F(b)),Find Chipotle and then find Nelson Fitness Center,F ( Chipotle & F ( Nelson Fitness Center ) )
F(a & F(b)),Find Chipotle and then find Starbucks,F ( Chipotle & F ( Starbucks ) )
F(a & F(b)),Find Kabob and Curry and then find Bookstore,F ( Kabob and Curry & F ( Bookstore ) )
F(a & F(b)),Find Kabob and Curry and then find Science Library,F ( Kabob and Curry & F ( Science Library ) )
F(a & F(b)),Find Kabob and Curry and then find Chipotle,F ( Kabob and Curry & F ( Chipotle ) )
F(a & F(b)),Find Kabob and Curry and then find Starbucks,F ( Kabob and Curry & F ( Starbucks ) )
F(a & F(b)),Find Kabob and Curry and then find CVS,F ( Kabob and Curry & F ( CVS ) )
F(a & F(b)),Find Kabob and Curry and then find Citizen's Bank,F ( Kabob and Curry & F ( Citizen's Bank ) )
F(a & F(b)),Find Kabob and Curry and then find Barus Building,F ( Kabob and Curry & F ( Barus Building ) )
F(a & F(b)),Find Kabob and Curry and then find Watson Center,F ( Kabob and Curry & F ( Watson Center ) )
F(a & F(b)),Find Kabob and Curry and then find Marston Hall,F ( Kabob and Curry & F ( Marston Hall ) )
F(a & F(b)),Find Kabob and Curry and then find FedEx Office,F ( Kabob and Curry & F ( FedEx Office ) )
F(a & F(b)),Find Kabob and Curry and then find Nelson Fitness Center,F ( Kabob and Curry & F ( Nelson Fitness Center ) )
F(a & F(b)),Find CVS and then find Bookstore,F ( CVS & F ( Bookstore ) )
F(a & F(b)),Find CVS and then find Science Library,F ( CVS & F ( Science Library ) )
F(a & F(b)),Find CVS and then find Chipotle,F ( CVS & F ( Chipotle ) )
F(a & F(b)),Find CVS and then find Starbucks,F ( CVS & F ( Starbucks ) )
F(a & F(b)),Find CVS and then find Kabob and Curry,F ( CVS & F ( Kabob and Curry ) )
F(a & F(b)),Find CVS and then find Citizen's Bank,F ( CVS & F ( Citizen's Bank ) )
F(a & F(b)),Find CVS and then find Barus Building,F ( CVS & F ( Barus Building ) )
F(a & F(b)),Find CVS and then find Watson Center,F ( CVS & F ( Watson Center ) )
F(a & F(b)),Find CVS and then find Marston Hall,F ( CVS & F ( Marston Hall ) )
F(a & F(b)),Find CVS and then find FedEx Office,F ( CVS & F ( FedEx Office ) )
F(a & F(b)),Find CVS and then find Nelson Fitness Center,F ( CVS & F ( Nelson Fitness Center ) )
F(a & F(b)),Find Citizen's Bank and then find Bookstore,F ( Citizen's Bank & F ( Bookstore ) )
F(a & F(b)),Find Citizen's Bank and then find Science Library,F ( Citizen's Bank & F ( Science Library ) )
F(a & F(b)),Find Citizen's Bank and then find Chipotle,F ( Citizen's Bank & F ( Chipotle ) )
F(a & F(b)),Find Citizen's Bank and then find Starbucks,F ( Citizen's Bank & F ( Starbucks ) )
F(a & F(b)),Find Citizen's Bank and then find Kabob and Curry,F ( Citizen's Bank & F ( Kabob and Curry ) )
F(a & F(b)),Find Citizen's Bank and then find CVS,F ( Citizen's Bank & F ( CVS ) )
F(a & F(b)),Find Citizen's Bank and then find Barus Building,F ( Citizen's Bank & F ( Barus Building ) )
F(a & F(b)),Find Citizen's Bank and then find Watson Center,F ( Citizen's Bank & F ( Watson Center ) )
F(a & F(b)),Find Citizen's Bank and then find Marston Hall,F ( Citizen's Bank & F ( Marston Hall ) )
F(a & F(b)),Find Citizen's Bank and then find FedEx Office,F ( Citizen's Bank & F ( FedEx Office ) )
F(a & F(b)),Find Citizen's Bank and then find Nelson Fitness Center,F ( Citizen's Bank & F ( Nelson Fitness Center ) )
F(a & F(b)),Find Barus Building and then find Bookstore,F ( Barus Building & F ( Bookstore ) )
F(a & F(b)),Find Barus Building and then find Science Library,F ( Barus Building & F ( Science Library ) )
F(a & F(b)),Find Barus Building and then find Chipotle,F ( Barus Building & F ( Chipotle ) )
F(a & F(b)),Find Barus Building and then find Starbucks,F ( Barus Building & F ( Starbucks ) )
F(a & F(b)),Find Barus Building and then find Kabob and Curry,F ( Barus Building & F ( Kabob and Curry ) )
