train_or_valid,utterances,true_ltl,output_ltl,is_correct
valid,go to a then b,F & a F b, F & a F b ,True
valid,move to a then move to b,F & a F b, F & a F b ,True
valid,after you have been to a make your way to b,F & a F b, F & a F b ,True
valid,reach a,F a, F a ,True
valid,go to a then go to b or go to b then go to a,& F a F b, F & a F b ,False
valid,do not visit h until you visit d visit d only once do not visit d until you visit c visit c only once do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h, & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b U ! b U ! b U c U c U c U c U c U !c d U ! d,Syntax Error
valid,do not visit d until you visit c visit c only once do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d, & & U ! b a & U ! c b & U ! d c & U ! h d F h ,Syntax Error
valid,reach a exactly once while staying away from b then move to b,& & U ! b a F b U ! a U a U !a b, & & U ! b a F b U ! a U a U !a b ,True
valid,do not stop going to a,G F a, G F a ,True
valid,make sure a and b are visited infinitely,& G F a G F b, & F a F b ,False
valid,keep visiting a and b in any order,& G F a G F b, & G F a G F b ,True
valid,dont stop visiting a,G F a, G F a ,True
valid,make sure you frequent a and b equally or at most one time in difference,& & F a F b & G i a W a & ! a W ! a b G i b W b & ! b W ! b a, & & F a F b & G i a W a & ! a W ! a b G i,Syntax Error
valid,visit a then b then c then d and then h visit each landmark only once,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h, & & U ! b a & U ! c b & U ! d c F d & U ! a,Syntax Error
valid,eventually reach a and b,& F a F b, & F a F b ,True
valid,keep visiting a,G F a, G F a ,True
valid,eventually you must go to a,F a, F a ,True
valid,head to a first and then to b but dont visit b if you havent been to a,& U ! b a F b, F & a F & b F & U ! a U a U !a b ,Syntax Error
valid,do not stop visiting a,G F a, G F a ,True
valid,you must visit a first before going to b,& U ! b a F b, & U ! b a F b ,True
