Pattern Type,NProps,Utterance,True LTL,Out LTL,,
visit,1,Proceed to Wawa but do not go through the restaurant.,F wawa,& G ! wawa F wawa,FALSE,FALSE
visit,1,Navigate to Wawa by passing a college house,F wawa,F & stouffer_college_house F wawa,FALSE,TRUE
visit,1,"In nearly a straight line, make your way to Wawa",F wawa,F wawa,TRUE,TRUE
visit,1,Navigate to Wawa while avoiding Beijing Restaurant.,F wawa,& U ! beijing wawa F wawa,FALSE,TRUE
visit,1,Navigate to Wawa.,F wawa,F wawa,TRUE,TRUE
visit,1,Avoid Beijing while on your way to wawa,F wawa,U ! beijing wawa,FALSE,TRUE
visit,1,Navigate to the Wawa,F wawa,F wawa,TRUE,TRUE
visit,1,Navigate straight ot Wawa,F wawa,F wawa,TRUE,TRUE
visit,1,Go straight across the street to Wawa.,F wawa,F wawa,TRUE,TRUE
visit,1,Go to Wawa.,F wawa,F wawa,TRUE,TRUE
visit,2,"Go to Wawa, then to the Beijing Restaurant.",F & wawa F beijing,F & wawa F beijing,TRUE,TRUE
visit,2,Navigate to the Beijing Restaurant while avoiding the Wawa.,F & wawa F beijing,& U ! wawa beijing F beijing,FALSE,TRUE
visit,2,Proceed through Wawa on your way to the Chinese Restaurant.,F & wawa F beijing,F wawa,FALSE,FALSE
visit,2,Head to the wawa and from there turn and proceed straight to Beijing Restaraunt,F & wawa F beijing,F & wawa F beijing,TRUE,TRUE
visit,2,"Move over to Wawa, then keep going to Beijing Restaurant.",F & wawa F beijing,F & wawa F beijing,TRUE,TRUE
visit,2,"Stop at Wawa on your way to Beijing Restaurant,",F & wawa F beijing,F wawa,FALSE,FALSE
visit,2,Go to Wawa while on your way to Beijing Restaurant,F & wawa F beijing,F & beijing F wawa,FALSE,FALSE
visit,2,Go straight across the street to Wawa and then turn right to Beijing.,F & wawa F beijing,F & wawa F beijing,TRUE,TRUE
visit,2,Heading towards Wawa switch to the left and arrive at Beijing Chinese place.,F & wawa F beijing,F & wawa F beijing,TRUE,TRUE
visit,2,Travel to Wawa and then proceed to Beijing Restaurant.,F & wawa F beijing,F & wawa F beijing,TRUE,TRUE
visit,2,Go to Beijing Restaurant while on your way to 37th St Trolley Station,F & beijing F 37th_street_station,F & 37th_street_station F beijing,Syntax Error,Syntax Error
visit,2,Navigate to the Beijing Restaurant and then on to the 37th St Trolley Station,F & beijing F 37th_street_station,F & beijing F 37th_street_station,TRUE,TRUE
visit,2,Head right through Beijing Restaurant to show up at 37th street station.,F & beijing F 37th_street_station,F beijing,Syntax Error,Syntax Error
visit,2,Go straight to Beijing and then turn right on to Spruce Street.,F & beijing F 37th_street_station,F & beijing F lancaster_farms_csa_drop_site,Syntax Error,Syntax Error
visit,2,"Your first stop is Beijing Restaurant, then from there your second stop is going to be 37th St Trolley Station",F & beijing F 37th_street_station,F & beijing F 37th_street_station,TRUE,TRUE
visit,2,Stop at Beijing Restaurant on your way to 37th St Trolley Station.,F & beijing F 37th_street_station,F beijing,Syntax Error,Syntax Error
visit,2,Visit Beijing Restaurant on the way to the 37th St Trolley Station,F & beijing F 37th_street_station,F & beijing F 37th_street_station,TRUE,TRUE
visit,2,Go through the Beijing Restaurant on your way to the 37th St Trolley Station.,F & beijing F 37th_street_station,F & beijing F 37th_street_station,TRUE,TRUE
visit,2,"Go to the Beijing Restaurant, then head to the 37th St Trolley Station.",F & beijing F 37th_street_station,F & beijing F 37th_street_station,TRUE,TRUE
visit,2,Proceed through the Chinese restaurant on your way to the 37th st trolley Station.,F & beijing F 37th_street_station,F & beijing F 37th_street_station,TRUE,TRUE
visit,2,Go straight to 37th Street Station before turning left to head to Wawa.,F & 37th_street_station F wawa,& U ! wawa 37th_street_station F wawa,Syntax Error,TRUE
visit,2,Head to 37th Street Station then take Spruce Street to Wawa avoiding any other restaurants along the way.,F & 37th_street_station F wawa,& U ! lancaster_farms_csa_drop_site 37th_street_station F lancaster_farms_csa_drop_site,Syntax Error,Syntax Error
visit,2,Avoid Beijing Restaurant while on your way to Wawa,F & 37th_street_station F wawa,U ! beijing wawa,Syntax Error,Syntax Error
visit,2,First head to the 37th St Trolley and then turn and head to the Wawa,F & 37th_street_station F wawa,F & 37th_street_station F wawa,TRUE,TRUE
visit,2,Go to the 37th St Trolley Station and then head back to Beijing Restaurant.,F & 37th_street_station F wawa,F & 37th_street_station F beijing,Syntax Error,Syntax Error
visit,2,Travel to the trolley station and then to Wawa,F & 37th_street_station F wawa,F & 37th_street_station F wawa,TRUE,TRUE
visit,2,Pass the Upper Quad to make your way to 37th St Trolley Station,F & 37th_street_station F wawa,F upper_quad,Syntax Error,Syntax Error
visit,2,Move to 37th Street Station adn than navigate to Wawa.,F & 37th_street_station F wawa,F & 37th_street_station F wawa,TRUE,TRUE
visit,2,Navigate to the convenience store after you stop at 37th St Trolley Station.,F & 37th_street_station F wawa,F & 37th_street_station F wawa,TRUE,TRUE
visit,2,Navigate to the Wawa while passing through the 37th Street Trolley Station.,F & 37th_street_station F wawa,F & 37th_street_station F wawa,TRUE,TRUE
