Utterance,Ground truth,Output,Correct
"keep away from Latham Plaza park, and Texaco fuel station with a roof, while heading to Walgreens Pharmacy, and then keep away from Texaco fuel station with a roof, while heading to Latham Plaza park, and eventually go to Texaco fuel station with a roof","{'Texaco fuel station with a roof', 'Walgreens Pharmacy', 'Latham Plaza park'}","{'Texaco fuel station with a roof', 'Walgreens Pharmacy', 'Latham Plaza park'}",True
"visit Campeche Bay Mexican Restaurant, but before visiting Campeche Bay Mexican Restaurant, you must visit Blue Water Daiquiri & Oyster Bar restaurant, visit each location once","{'Campeche Bay Mexican Restaurant', 'Blue Water Daiquiri & Oyster Bar restaurant'}","{'Campeche Bay Mexican Restaurant', 'Blue Water Daiquiri & Oyster Bar restaurant'}",True
"go to SeaWalk Pavillion Theatre, then go to Jacksonville Beach City Hall on 3rd Street North, then go to Four Points by Sheraton Jacksonville Beachfront building","{'SeaWalk Pavillion Theatre', 'Four Points by Sheraton Jacksonville Beachfront building', 'Jacksonville Beach City Hall on 3rd Street North'}","{'SeaWalk Pavillion Theatre', 'Four Points by Sheraton Jacksonville Beachfront building', 'Jacksonville Beach City Hall on 3rd Street North'}",True
"visit Four Points by Sheraton Jacksonville Beachfront building, then Zeta Brewing Company restaurant, then Walgreens pharmacy building, and then Surfer the Bar on 1st Street North, you can only visit each landmark once","{'Zeta Brewing Company restaurant', 'Walgreens pharmacy building', 'Four Points by Sheraton Jacksonville Beachfront building', 'Surfer the Bar on 1st Street North'}","{'Zeta Brewing Company restaurant', 'Walgreens pharmacy building', 'Four Points by Sheraton Jacksonville Beachfront building', 'Surfer the Bar on 1st Street North'}",True
"make sure you visit Campeche Bay Mexican Restaurant, three or more times",{'Campeche Bay Mexican Restaurant'},{'Campeche Bay Mexican Restaurant'},True
"visit Seawalk Hotel and Spa, Four Points by Sheraton Jacksonville Beachfront building, Campeche Bay Mexican Restaurant, Beachside Resortwear clothing store, and Blue Water Daiquiri & Oyster Bar restaurant, in this order there can be other landmarks in between","{'Four Points by Sheraton Jacksonville Beachfront building', 'Seawalk Hotel and Spa', 'Beachside Resortwear clothing store', 'Campeche Bay Mexican Restaurant', 'Blue Water Daiquiri & Oyster Bar restaurant'}","{'Campeche Bay Mexican Restaurant', 'Four Points by Sheraton Jacksonville Beachfront building', 'Seawalk Hotel and Spa', 'Blue Water Daiquiri & Oyster Bar restaurant', 'Beachside Resortwear clothing store'}",True
"stop by Latham Plaza park, and Texaco fuel station with a roof","{'Texaco fuel station with a roof', 'Latham Plaza park'}","{'Texaco fuel station with a roof', 'Latham Plaza park'}",True
"immediately after you go to Picasso Day Spa and Salon, you have to move to Blue Water Daiquiri & Oyster Bar restaurant, and you can not visit Blue Water Daiquiri & Oyster Bar restaurant, any other time","{'Blue Water Daiquiri & Oyster Bar restaurant', 'Picasso Day Spa and Salon'}","{'Blue Water Daiquiri & Oyster Bar restaurant', 'Picasso Day Spa and Salon'}",True
"keep away from SeaWalk Pavilion theater building, and Texaco fuel station with a roof, while heading to Surfer-themed bar on 1st Street North, and then keep away from Texaco fuel station with a roof, while heading to SeaWalk Pavilion theater building, and eventually go to Texaco fuel station with a roof","{'Texaco fuel station with a roof', 'Surfer-themed bar on 1st Street North', 'SeaWalk Pavilion theater building'}","{'Texaco fuel station with a roof', 'Surfer-themed bar on 1st Street North', 'SeaWalk Pavilion theater building'}",True
"always keep away from Blue Water Daiquiri & Oyster Bar restaurant, Zeta Brewing Company restaurant, Wells Fargo bank building, Surfer-themed bar on 1st Street North, and Campeche Bay Mexican Restaurant","{'Wells Fargo bank building', 'Zeta Brewing Company restaurant', 'Surfer-themed bar on 1st Street North', 'Campeche Bay Mexican Restaurant', 'Blue Water Daiquiri & Oyster Bar restaurant'}","{'Wells Fargo bank building', 'Campeche Bay Mexican Restaurant', 'Zeta Brewing Company restaurant', 'Blue Water Daiquiri & Oyster Bar restaurant', 'Surfer-themed bar on 1st Street North'}",True
