train_or_valid,pattern_type,nprops,prop_perm,utterances,true_ltl,output_ltl,is_correct
valid,visit,1,"('a',)",make your way to a,F a,F a,True
valid,visit,1,"('b',)",make your way to b,F b,F b,True
valid,visit,1,"('c',)",make your way to c,F c,F c,True
valid,visit,1,"('d',)",make your way to d,F d,F d,True
valid,visit,1,"('h',)",make your way to h,F h,F h,True
valid,visit,1,"('a',)",visit a,F a,F a,True
valid,visit,1,"('b',)",visit b,F b,F b,True
valid,visit,1,"('c',)",visit c,F c,F c,True
valid,visit,1,"('d',)",visit d,F d,F d,True
valid,visit,1,"('h',)",visit h,F h,F h,True
valid,visit,1,"('a',)",reach a,F a,F a,True
valid,visit,1,"('b',)",reach b,F b,F b,True
valid,visit,1,"('c',)",reach c,F c,F c,True
valid,visit,1,"('d',)",reach d,F d,F d,True
valid,visit,1,"('h',)",reach h,F h,F h,True
valid,visit,1,"('a',)",make your way to a,F a,F a,True
valid,visit,1,"('b',)",make your way to b,F b,F b,True
valid,visit,1,"('c',)",make your way to c,F c,F c,True
valid,visit,1,"('d',)",make your way to d,F d,F d,True
valid,visit,1,"('h',)",make your way to h,F h,F h,True
valid,visit,1,"('a',)",please go to a,F a,F a,True
valid,visit,1,"('b',)",please go to b,F b,F b,True
valid,visit,1,"('c',)",please go to c,F c,F c,True
valid,visit,1,"('d',)",please go to d,F d,F d,True
valid,visit,1,"('h',)",please go to h,F h,F h,True
valid,visit,1,"('a',)",approach a,F a,F a,True
valid,visit,1,"('b',)",approach b,F b,F b,True
valid,visit,1,"('c',)",approach c,F c,F c,True
valid,visit,1,"('d',)",approach d,F d,F d,True
valid,visit,1,"('h',)",approach h,F h,F h,True
valid,visit,2,"('a', 'b')",make sure to go to both a and b at least once,& F a F b,& F a F b,True
valid,visit,2,"('a', 'c')",make sure to go to both a and c at least once,& F a F c,& F a F c,True
valid,visit,2,"('a', 'd')",make sure to go to both a and d at least once,& F a F d,& F a F d,True
valid,visit,2,"('a', 'h')",make sure to go to both a and h at least once,& F a F h,& F a F h,True
valid,visit,2,"('b', 'a')",make sure to go to both b and a at least once,& F b F a,& F b F a,True
valid,visit,2,"('b', 'c')",make sure to go to both b and c at least once,& F b F c,& F b F c,True
valid,visit,2,"('b', 'd')",make sure to go to both b and d at least once,& F b F d,& F b F d,True
valid,visit,2,"('b', 'h')",make sure to go to both b and h at least once,& F b F h,& F b F h,True
valid,visit,2,"('c', 'a')",make sure to go to both c and a at least once,& F c F a,& F c F a,True
valid,visit,2,"('c', 'b')",make sure to go to both c and b at least once,& F c F b,& F c F b,True
valid,visit,2,"('c', 'd')",make sure to go to both c and d at least once,& F c F d,& F c F d,True
valid,visit,2,"('c', 'h')",make sure to go to both c and h at least once,& F c F h,& F c F h,True
valid,visit,2,"('d', 'a')",make sure to go to both d and a at least once,& F d F a,& F d F a,True
valid,visit,2,"('d', 'b')",make sure to go to both d and b at least once,& F d F b,& F d F b,True
valid,visit,2,"('d', 'c')",make sure to go to both d and c at least once,& F d F c,& F d F c,True
valid,visit,2,"('d', 'h')",make sure to go to both d and h at least once,& F d F h,& F d F h,True
valid,visit,2,"('h', 'a')",make sure to go to both h and a at least once,& F h F a,& F h F a,True
valid,visit,2,"('h', 'b')",make sure to go to both h and b at least once,& F h F b,& F h F b,True
valid,visit,2,"('h', 'c')",make sure to go to both h and c at least once,& F h F c,& F h F c,True
valid,visit,2,"('h', 'd')",make sure to go to both h and d at least once,& F h F d,& F h F d,True
