Pattern Type,NProps,Utterance,True LTL,Out LTL,,
visit,1,Head straight down past the Diamond Restaurant to get at Commonwealth animal shelter.,F commonwealth_animal_hospital,G i diamond_restaurant X commonwealth_animal_hospital,FALSE,FALSE
visit,1,Go directly to the Commonwealth Animal Hospital.,F commonwealth_animal_hospital,F commonwealth_animal_hospital,TRUE,TRUE
visit,1,Go directly to Commonwealth Animal Hospital.,F commonwealth_animal_hospital,F commonwealth_animal_hospital,TRUE,TRUE
visit,1,"Instead of going to Zada Janes, go straight to the animal Hospital.",F commonwealth_animal_hospital,G i commonwealth_animal_hospital,Syntax Error,Syntax Error
visit,1,Proceed to the animal hospital.,F commonwealth_animal_hospital,F commonwealth_animal_hospital,TRUE,TRUE
visit,1,Go south while avoding Elizabeth Billiards on your way to Commonwealth Animal Hospital.,F commonwealth_animal_hospital,& U ! elizabeth_billiards commonwealth_animal_hospital F elizabeth_billiards,FALSE,TRUE
visit,1,Navigate straight to Commonwealth Animal Hospital.,F commonwealth_animal_hospital,F commonwealth_animal_hospital,TRUE,TRUE
visit,1,I want to go to the Commonwealth Animal Hospital please.,F commonwealth_animal_hospital,F commonwealth_animal_hospital,TRUE,TRUE
visit,1,Navigate straight to Commonwealth Animal Hospital,F commonwealth_animal_hospital,F commonwealth_animal_hospital,TRUE,TRUE
visit,1,Navigate the most direct route possible to Commonwealth Animal Hospital.,F commonwealth_animal_hospital,F commonwealth_animal_hospital,TRUE,TRUE
visit,2,"Go to Commonweath Animal Hospital, then continue to Zada Jane's.",F & commonwealth_animal_hospital F zada_janes,F & commonwealth_animal_hospital F zada_janes,TRUE,TRUE
visit,2,Head to the Commonwealth Animal Hospital before heading to Zada Jane's.,F & commonwealth_animal_hospital F zada_janes,U ! zada_janes commonwealth_animal_hospital,FALSE,TRUE
visit,2,"On your way to Zada Janes, go to the animal hospital.",F & commonwealth_animal_hospital F zada_janes,F commonwealth_animal_hospital,FALSE,FALSE
visit,2,"Go to Commonwealth Animal Hospital, then go to Zada Jane's Corner Cafe.",F & commonwealth_animal_hospital F zada_janes,F & commonwealth_animal_hospital F zada_janes,TRUE,TRUE
visit,2,Navigate to the cafe while avoiding the animal hospital.,F & commonwealth_animal_hospital F zada_janes,& U ! commonwealth_animal_hospital zada_janes F zada_janes,FALSE,TRUE
visit,2,proceed to the animal hospital and then advance to Zada Jane's,F & commonwealth_animal_hospital F zada_janes,F & commonwealth_animal_hospital F zada_janes,TRUE,TRUE
visit,2,Navigate to Commonwealth Animal Hospital on your way to Zada Jane's Corner Café.,F & commonwealth_animal_hospital F zada_janes,F & commonwealth_animal_hospital F zada_janes,TRUE,TRUE
